"Dist Code","Year","State Code","State Name","Dist Name","WHEAT AREA (1000 ha)","WHEAT PRODUCTION (1000 tons)","WHEAT YIELD (Kg per ha)"
"1","1966","14","Chhattisgarh","Durg","44.0","20.0","454.55"
"1","1967","14","Chhattisgarh","Durg","50.0","26.0","520.0"
"1","1968","14","Chhattisgarh","Durg","53.7","30.0","558.66"
"1","1969","14","Chhattisgarh","Durg","49.4","26.5","536.44"
"1","1970","14","Chhattisgarh","Durg","44.2","29.0","656.11"
"1","1971","14","Chhattisgarh","Durg","44.4","25.8","581.08"
"1","1972","14","Chhattisgarh","Durg","39.6","20.6","520.2"
"1","1973","14","Chhattisgarh","Durg","37.3","18.6","498.66"
"1","1974","14","Chhattisgarh","Durg","36.5","22.4","613.7"
"1","1975","14","Chhattisgarh","Durg","49.2","27.8","565.04"
"1","1976","14","Chhattisgarh","Durg","46.9","10.0","213.22"
"1","1977","14","Chhattisgarh","Durg","53.1","27.1","510.36"
"1","1978","14","Chhattisgarh","Durg","48.7","25.6","525.67"
"1","1979","14","Chhattisgarh","Durg","44.6","17.8","399.1"
"1","1980","14","Chhattisgarh","Durg","44.1","33.6","761.9"
"1","1981","14","Chhattisgarh","Durg","41.5","23.6","568.67"
"1","1982","14","Chhattisgarh","Durg","41.1","23.9","581.51"
"1","1983","14","Chhattisgarh","Durg","39.9","20.6","516.29"
"1","1984","14","Chhattisgarh","Durg","40.5","19.9","491.36"
"1","1985","14","Chhattisgarh","Durg","39.4","21.0","532.99"
"1","1986","14","Chhattisgarh","Durg","37.0","24.0","648.65"
"1","1987","14","Chhattisgarh","Durg","43.0","23.0","534.88"
"1","1988","14","Chhattisgarh","Durg","43.7","20.2","462.24"
"1","1989","14","Chhattisgarh","Durg","43.8","22.7","518.26"
"1","1990","14","Chhattisgarh","Durg","36.2","24.8","685.08"
"1","1991","14","Chhattisgarh","Durg","34.8","21.6","620.69"
"1","1992","14","Chhattisgarh","Durg","56.1","20.5","365.42"
"1","1993","14","Chhattisgarh","Durg","33.8","23.8","704.14"
"1","1994","14","Chhattisgarh","Durg","36.5","29.4","805.48"
"1","1995","14","Chhattisgarh","Durg","37.1","26.5","714.29"
"1","1996","14","Chhattisgarh","Durg","36.2","29.1","803.87"
"1","1997","14","Chhattisgarh","Durg","35.6","18.3","514.04"
"1","1998","14","Chhattisgarh","Durg","39.96","24.84","621.62"
"1","1999","14","Chhattisgarh","Durg","0.0","0.0","0.0"
"1","2000","14","Chhattisgarh","Durg","29.9","17.59","588.19"
"1","2001","14","Chhattisgarh","Durg","34.33","24.11","702.43"
"1","2002","14","Chhattisgarh","Durg","33.25","25.09","754.44"
"1","2003","14","Chhattisgarh","Durg","37.99","29.58","778.78"
"1","2004","14","Chhattisgarh","Durg","36.43","23.19","636.48"
"1","2005","14","Chhattisgarh","Durg","36.43","23.19","636.48"
"1","2006","14","Chhattisgarh","Durg","36.81","26.62","723.16"
"1","2007","14","Chhattisgarh","Durg","37.32","34.38","921.03"
"1","2008","14","Chhattisgarh","Durg","36.46","31.19","855.47"
"1","2009","14","Chhattisgarh","Durg","42.44","38.12","898.09"
"1","2010","14","Chhattisgarh","Durg","46.12","45.87","994.69"
"1","2011","14","Chhattisgarh","Durg","44.98","50.19","1115.68"
"1","2012","14","Chhattisgarh","Durg","43.87","47.69","1087.1"
"1","2013","14","Chhattisgarh","Durg","41.54","43.33","1043.06"
"1","2014","14","Chhattisgarh","Durg","44.25","50.96","1151.49"
"1","2015","14","Chhattisgarh","Durg","48.72","54.6","1120.74"
"1","2016","14","Chhattisgarh","Durg","48.94","61.84","1263.55"
"1","2017","14","Chhattisgarh","Durg","43.5","50.19","1153.77"
"2","1966","14","Chhattisgarh","Bastar","2.0","1.0","500.0"
"2","1967","14","Chhattisgarh","Bastar","2.0","1.0","500.0"
"2","1968","14","Chhattisgarh","Bastar","2.3","1.0","434.78"
"2","1969","14","Chhattisgarh","Bastar","2.3","1.5","652.17"
"2","1970","14","Chhattisgarh","Bastar","2.4","1.9","791.67"
"2","1971","14","Chhattisgarh","Bastar","2.5","1.5","600.0"
"2","1972","14","Chhattisgarh","Bastar","2.7","1.7","629.63"
"2","1973","14","Chhattisgarh","Bastar","2.6","1.9","730.77"
"2","1974","14","Chhattisgarh","Bastar","2.4","2.0","833.33"
"2","1975","14","Chhattisgarh","Bastar","3.7","2.9","783.78"
"2","1976","14","Chhattisgarh","Bastar","3.3","2.2","666.67"
"2","1977","14","Chhattisgarh","Bastar","3.3","2.6","787.88"
"2","1978","14","Chhattisgarh","Bastar","3.0","2.8","933.33"
"2","1979","14","Chhattisgarh","Bastar","3.0","2.4","800.0"
"2","1980","14","Chhattisgarh","Bastar","2.9","3.1","1068.97"
"2","1981","14","Chhattisgarh","Bastar","3.0","3.3","1100.0"
"2","1982","14","Chhattisgarh","Bastar","3.2","3.9","1218.75"
"2","1983","14","Chhattisgarh","Bastar","2.9","2.7","931.03"
"2","1984","14","Chhattisgarh","Bastar","2.8","3.0","1071.43"
"2","1985","14","Chhattisgarh","Bastar","2.6","2.6","1000.0"
"2","1986","14","Chhattisgarh","Bastar","3.0","3.0","1000.0"
"2","1987","14","Chhattisgarh","Bastar","3.0","2.0","666.67"
"2","1988","14","Chhattisgarh","Bastar","2.8","3.0","1071.43"
"2","1989","14","Chhattisgarh","Bastar","2.6","2.7","1038.46"
"2","1990","14","Chhattisgarh","Bastar","2.0","2.4","1200.0"
"2","1991","14","Chhattisgarh","Bastar","2.2","3.0","1363.64"
"2","1992","14","Chhattisgarh","Bastar","1.6","2.0","1250.0"
"2","1993","14","Chhattisgarh","Bastar","1.8","2.6","1444.44"
"2","1994","14","Chhattisgarh","Bastar","1.6","2.4","1500.0"
"2","1995","14","Chhattisgarh","Bastar","1.6","2.5","1562.5"
"2","1996","14","Chhattisgarh","Bastar","2.0","3.3","1650.0"
"2","1997","14","Chhattisgarh","Bastar","1.4","2.2","1571.43"
"2","1998","14","Chhattisgarh","Bastar","2.4","3.8","1583.33"
"2","1999","14","Chhattisgarh","Bastar","0.0","0.0","0.0"
"2","2000","14","Chhattisgarh","Bastar","1.7","2.75","1617.65"
"2","2001","14","Chhattisgarh","Bastar","2.5","3.88","1552.0"
"2","2002","14","Chhattisgarh","Bastar","2.09","3.76","1799.04"
"2","2003","14","Chhattisgarh","Bastar","2.42","3.83","1582.64"
"2","2004","14","Chhattisgarh","Bastar","2.17","3.21","1479.26"
"2","2005","14","Chhattisgarh","Bastar","2.17","3.21","1479.26"
"2","2006","14","Chhattisgarh","Bastar","1.92","3.2","1666.67"
"2","2007","14","Chhattisgarh","Bastar","1.68","3.31","1970.24"
"2","2008","14","Chhattisgarh","Bastar","1.71","2.6","1520.47"
"2","2009","14","Chhattisgarh","Bastar","1.64","2.95","1798.78"
"2","2010","14","Chhattisgarh","Bastar","1.6","3.2","2000.0"
"2","2011","14","Chhattisgarh","Bastar","1.33","2.49","1872.18"
"2","2012","14","Chhattisgarh","Bastar","1.25","2.47","1976.0"
"2","2013","14","Chhattisgarh","Bastar","0.97","1.75","1804.12"
"2","2014","14","Chhattisgarh","Bastar","0.81","1.86","2296.3"
"2","2015","14","Chhattisgarh","Bastar","0.84","1.75","2083.33"
"2","2016","14","Chhattisgarh","Bastar","0.67","1.53","2265.58"
"2","2017","14","Chhattisgarh","Bastar","1.24","2.22","1783.13"
"3","1966","14","Chhattisgarh","Raipur","6.0","2.0","333.33"
"3","1967","14","Chhattisgarh","Raipur","9.0","4.0","444.44"
"3","1968","14","Chhattisgarh","Raipur","9.5","4.0","421.05"
"3","1969","14","Chhattisgarh","Raipur","7.6","3.4","447.37"
"3","1970","14","Chhattisgarh","Raipur","7.9","4.8","607.59"
"3","1971","14","Chhattisgarh","Raipur","7.9","4.9","620.25"
"3","1972","14","Chhattisgarh","Raipur","11.4","5.7","500.0"
"3","1973","14","Chhattisgarh","Raipur","13.3","7.6","571.43"
"3","1974","14","Chhattisgarh","Raipur","13.5","7.6","562.96"
"3","1975","14","Chhattisgarh","Raipur","27.4","12.2","445.26"
"3","1976","14","Chhattisgarh","Raipur","21.2","8.4","396.23"
"3","1977","14","Chhattisgarh","Raipur","27.6","17.9","648.55"
"3","1978","14","Chhattisgarh","Raipur","20.0","20.5","1025.0"
"3","1979","14","Chhattisgarh","Raipur","14.0","10.0","714.29"
"3","1980","14","Chhattisgarh","Raipur","16.7","19.2","1149.7"
"3","1981","14","Chhattisgarh","Raipur","17.1","17.2","1005.85"
"3","1982","14","Chhattisgarh","Raipur","16.0","17.4","1087.5"
"3","1983","14","Chhattisgarh","Raipur","16.7","10.7","640.72"
"3","1984","14","Chhattisgarh","Raipur","16.4","11.9","725.61"
"3","1985","14","Chhattisgarh","Raipur","17.6","12.3","698.86"
"3","1986","14","Chhattisgarh","Raipur","18.0","20.0","1111.11"
"3","1987","14","Chhattisgarh","Raipur","17.0","16.0","941.18"
"3","1988","14","Chhattisgarh","Raipur","19.5","13.7","702.56"
"3","1989","14","Chhattisgarh","Raipur","16.4","13.1","798.78"
"3","1990","14","Chhattisgarh","Raipur","17.0","18.9","1111.76"
"3","1991","14","Chhattisgarh","Raipur","15.1","13.7","907.28"
"3","1992","14","Chhattisgarh","Raipur","16.7","16.5","988.02"
"3","1993","14","Chhattisgarh","Raipur","18.9","21.8","1153.44"
"3","1994","14","Chhattisgarh","Raipur","18.4","22.4","1217.39"
"3","1995","14","Chhattisgarh","Raipur","15.9","19.5","1226.42"
